module,tab,group,field,fields,description,usage,format,allowed values,examples
ecollectionevents,Depth/Elev,Depth Details,Text Depth,- AquVerbatimDepth,,Not used,,,
ecollectionevents,Depth/Elev,Depth Details,Bottom Depth From,"- AquBottomDepthFromMet
- AquBottomDepthFromFt
- AquBottomDepthFromFath
- AquBottomDepthFromModifier","The depth of the seafloor at which a collection event began
",Omit for terrestrial samples and aquatic samples where the collection depth is not known.,"For dredges and trawls, Depth From is the depth at the point where the collecting event started. In earlier databases, this was referred to as ""on bottom"".

Each of the columns in this group represents a specific unit: meters, feet, and fathoms. When adding bottom depth, you only need to fill out one of the three columns. The other two will be calculated automatically by EMu. Original values display as black and calculated values as red in the client.

If only one depth is provided, use that depth in both Depth From and Depth To. Always provide the verbatim depth, including units, in Text Bottom Depth.

The modifier field is used to indicate uncertainty in depth measurements. Use ""approx."" to indicate uncertainty. The exact uncertainty can be expressed in Text Bottom Depth.",,
ecollectionevents,Depth/Elev,Depth Details,Bottom Depth To,"- AquBottomDepthToMet
- AquBottomDepthToFt
- AquBottomDepthToFath
- AquBottomDepthToModifier","The depth of the seafloor at which a collection event ended 
",Omit for terrestrial samples and aquatic samples where the collection depth is not known.," For dredges and trawls, Depth To is the depth at the point where the collecting event ends. In earlier databases, this was referred to as ""off bottom"".

Each of the columns in this group represents a specific unit: meters, feet, and fathoms. When adding bottom depth, you only need to fill out one of the three columns. The other two will be calculated automatically by EMu. Original values display as black and calculated values as red in the client.

If only one depth is provided, use that depth in both Depth From and Depth To. Always provide the verbatim depth, including units, in Text Bottom Depth.

The modifier field is used to indicate uncertainty in depth measurements. Use ""approx."" to indicate uncertainty. The exact uncertainty can be expressed in Text Bottom Depth.",,
ecollectionevents,Depth/Elev,Depth Details,Bottom Depth Determination,- AquBottomDepthDetermination,The method by which the bottom depth was measured,Omit if no appropriate data is available,,,
ecollectionevents,Depth/Elev,Depth Details,Text Bottom Depth,- AquVerbatimBottomDepth,"A text string with the verbatim depth information, including units and uncertainy, if any.",Required if depth info is populated,,,"- 1000-1200 m
- 72 fathoms
- 125.5 Â± 0.5 ft"
ecollectionevents,Depth/Elev,Depth Details,Source Of Sample,- DepSourceOfSample,"The part of the water column from which the specimen was collected. For geological specimens, this should always be Bottom.",Required when depth info is populated,,- Bottom,
ecollectionevents,Depth/Elev,Elevation (Relative),Elevation From,"- TerElevationFromMet
- TerElevationFromFt
- TerElevationFromModifier",The elevation at which a collection event began,Omit if no appropriate data is available,"Each of the columns in this group represents a specific unit: meters and feet. When adding an elevation, you only need to fill out one of column. The other unit will be calculated automatically by EMu. Original values display as black and calculated values as red in the client.

If only one elevation is provided, use that depth in both From and To. Always provide the verbatim elevation, including units, in Text.

The modifier field is used to indicate uncertainty in elevation measurements. Use ""approx."" to indicate uncertainty. The exact uncertainty can be expressed in Text.",,
ecollectionevents,Depth/Elev,Elevation (Relative),Elevation To,"- TerElevationToMet
- TerElevationToFt
- TerElevationToModifier","The elevation at which a collection event ended
",Omit if no appropriate data is available,"Each of the columns in this group represents a specific unit: meters and feet. When adding an elevation, you only need to fill out one of column. The other unit will be calculated automatically by EMu. Original values display as black and calculated values as red in the client.

If only one elevation is provided, use that depth in both From and To. Always provide the verbatim elevation, including units, in Text.

The modifier field is used to indicate uncertainty in elevation measurements. Use ""approx."" to indicate uncertainty. The exact uncertainty can be expressed in Text.",,
ecollectionevents,Depth/Elev,Elevation (Relative),Elevation Determination,- TerElevationDetermination,The method by which the elevation was measured,Omit if no appropriate data is available,,,
ecollectionevents,Depth/Elev,Elevation (Relative),Elevation Text,- TerVerbatimElevation,"A text string with the verbatim elevation information, including units and uncertainy, if any.",Required if elevation info is populated,,,
elocations,Location,Identifiers,Location Code,- LocLocationCode,"A code used to identify a location, usually an exhibit case",Omit if no appropriate data is available,,"- NHB
- MSC
- Udvar Hazy",
elocations,Location,Identifiers,Barcode,- LocBarcode,,Not used,,,
elocations,Location,Location Type,Location/Holder,- LocLocationType,Type of storage location,Required,,,
elocations,Location,Storage,Unit Type,- LocStorageType,Type of storage unit,Required,,,"- Desiccant cabinet
- Exhibit
- Quarter unit
- Shelf"
elocations,Location,Location Hierarchy,Level 1,- LocLevel1,The name or abbreviation for a building,Required,,,"- MSC
- NHB
- Udvar Hazy"
elocations,Location,Location Hierarchy,Level 2,- LocLevel2,The room number or exhibit name,Required,"Usually the room number. Mineralogy includes a parenthetical with a short text description that identifies the location (like ""Blue Room"" or ""Reference Collection"").",,"- E431C (Blue Room)
- E432A
- E433
- GGM"
elocations,Location,Location Hierarchy,Level 3,- LocLevel3,"For collections, the identifier of a cabinet, case, or other storage unit. For exhibits, a description of where in the exhibit the case is found.",Required,"For collections locations, zero-pad the cabinet/case number to three characters.",,"- 001
- 010
- 100"
elocations,Location,Location Hierarchy,Level 4,- LocLevel4,"For collections, the identifier of a drawer, shelf, or other storage sub-unit.  For exhibits, a description of where in the exhibit the case is found.",Omit if no appropriate data is available,"For collections locations, zero-pad the drawer/shelf identifier to two characters.",,"- 01
- 10"
elocations,Location,Location Hierarchy,Level 5,- LocLevel5,"For exhibits, a description of where in the exhibit the case is found.",Omit if no appropriate data is available,,,
elocations,Location,Location Hierarchy,Level 6,- LocLevel6,"For exhibits, the case identifier",Omit if no appropriate data is available,,,"- MC-009
- MC-010"
elocations,Location,Location Hierarchy,Level 7,- LocLevel7,,Not used,,,
elocations,Location,Location Hierarchy,Level 8,- LocLevel8,,Not used,,,
enmnhtransactions,Tasks,Task Information,Description,- TasDescription_tab,A description of the task to be performed,Required when task is created,"**Provisional guidance**

Description should start with an upper-case key phrase in square brackets that describes the type of task. Additional information can follow if needed.

Bracketed key phrases under consideration include:

- [CATALOGING PENDING] describes an acquisition that needs to be catalogued and reconciled. This is used to identify records representing the backlog.
- [DATA PENDING] describes an outgoing loan for which no data has been returned
- [ACTION PENDING] describes any other action that must be completed at a later date

Key phrases would be used for searching/reporting and must be entered exactly.",,"- [CATALOGING PENDING] Collection of roughly 400 object stored in the NW corner of E433
- [DATA PENDING]
- [ACTION PENDING] Close if recipient can not locate samples within one year"
enmnhtransactions,Tasks,Task Information,Assigned To,- TasPersonAssignedToRef_nesttab,The position of the person responsible for completing the task,Required when task is created,Reference to Parties. Best practice is to link to the position record in Parties for the appropriate collection manager,,
enmnhtransactions,Tasks,Task Information,Assigned By,- TasTaskAssignerRef_tab,The person who assigned the task,Required when task is created,Reference to Parties,,
enmnhtransactions,Tasks,Task Information,Result,- TasResults_tab,The result of the task once completed,Required when task is completed,"Provide a brief description of the result of the task, including metrics if applicable (for example, the number of catalog records created). If the task will not be completed (for example, if a loan recipient locates missing specimens before a transaction is scheduled to be closed unbalanced), note why the task was not performed.",,
enmnhtransactions,Tasks,Commencement,Start Date,- TasCommencementDate0,The date on which to start the task,Required for time-dependent tasks (like closing a loan after a certain amount of time),,,
enmnhtransactions,Tasks,Commencement,Notify On,- TasStartNotifyDate0,The date on which to notify the contacts in the associated Notify grid,Required for time-dependent tasks (like closing a loan after a certain amount of time),,,
enmnhtransactions,Tasks,Commencement,Notify,- TasCommenceNotifyRef_nesttab,List of positions to notify when the task is due to start,Required for time-dependent tasks (like closing a loan after a certain amount of time),Reference to Parties. Include the Mineral Sciences registrar at a minimum. Consider also including the appropriate collection manager.,,
enmnhtransactions,Tasks,Completion,Completed,- TasCompleted_tab,Whether the task has been completed,Required when task is created,"Yes if the task has been completed, No otherwise.

Note that you should use Yes even if the assigned action did not need to be completed after all (for example, if a loan recipient locates missing specimens before a transaction is scheduled to be closed unbalanced).",,
enmnhtransactions,Tasks,Completion,Hours Taken,- TasTimeTakenOnTask_tab,The time taken to completed the task,Not used,,,
enmnhtransactions,Tasks,Completion,End Date,- TasCompletionDate0,The date on which the task was completed,Required when the task is completed,,,
enmnhtransactions,Tasks,Completion,Notify On,- TasEndNotifyDate0,The date on which to notify the contacts in the associated Notify grid that the task was completed,Not used,,,
enmnhtransactions,Tasks,Completion,Notify,- TasCompletionNotifyRef_nesttab,List of positions to notify when the task is complete,Not used,,,
ecatalogue,Petrology (1),Object Data from time of Collecting Event,Event/Site,- BioEventSiteRef,The collection locality and event,Required,Reference to Collection Events,,
ecatalogue,Petrology (1),Object Data from time of Collecting Event,Collectors,- BioParticipantRef_tab,List of collector names,Populated automatically from the associated Collections Event record,,,
ecatalogue,Petrology (1),Volcano Attributes,Lava Source,- PetLavaSource,The name of the volcanic feature,Deprecated. Use the Subfeature field instead.,,,
ecatalogue,Petrology (1),Volcano Attributes,Flow/Tephra,- PetFlowTephra,The name of the flow or tephra unit,Deprecate? Conceptual overlap with stratigraphy table.,,,
ecatalogue,Petrology (1),Preparation Details,Preparation,"- ZooPreparation_tab
",The type of the preparation,Omit if no appropriate data is available,"The preparation grid is used to store information about preparations dervied from and stored in the same location as the primary specimen. Preparations stored in a different location should have their own EMu record that links back to the primary specimen using the Relationships tab.

Preparation type should be selected from the list of allowed values provided here. Please contact the data manager if additional values are required.

Historically, some collection methods (usually dredge or core) were included in this field. This data should go in *Collection Events > Exp/Method > Collection method* instead.","- Grain mount
- Powder
- Thick section
- Thin section",
ecatalogue,Petrology (1),Preparation Details,Prepared By,- ZooPreparedByRef_tab,The person who created the preparation,Omit if no appropriate data is available,Reference to Parties,,
ecatalogue,Petrology (1),Preparation Details,Preparation Count,- ZooPreparationCount_tab,The number of preparations of this type,Required for each row where Preparation is populated,,,
ecatalogue,Petrology (1),Preparation Details,Preparation Remarks,- ZooPreparationRemarks_tab,Comments about the preparation,Omit if no appropriate data is available,,,
ecatalogue,Petrology (1),Lot Description,Lot Description,- BioLiveSpecimen,A long-form description of the specimen ,Omit if no appropriate data is available,,,
ecatalogue,Gems/Minerals,Object Data from time of Collecting Event,Event/Site,- BioEventSiteRef,The collection locality and event,Required,Reference to Collection Events,,
ecatalogue,Gems/Minerals,Object Data from time of Collecting Event,Collectors,- BioParticipantRef_tab,List of collector names,Populated automatically from the associated Collections Event record,,,
ecatalogue,Gems/Minerals,Object Data from time of Collecting Event,Primary coll number,- BioPrimaryCollNumber,,Not used,,,
ecatalogue,Gems/Minerals,Physical Details,Jewelry Type,- MinJeweleryType,The type of jewelry,Omit if no appropriate data is available,,,"- Bracelet
- Brooch
- Necklace
- Ring"
ecatalogue,Gems/Minerals,Physical Details,Fashion/Cut,- MinCut,The cut of the primary gem,Omit if no appropriate data is available,,,"- Cushion
- Fancy
- Step"
ecatalogue,Gems/Minerals,Physical Details,Color,- MinColor_tab,The color of the primary gem,Omit if no appropriate data is available,,,"- Blue
- Green
- Red
- Yellow"
ecatalogue,Gems/Minerals,Physical Details,Cut By,- MinCutByRef,The person who cut a gem,Omit if no appropriate data is available,Reference to Parties,,
ecatalogue,Gems/Minerals,Physical Details,Maker,- MinMakerRef,The person or organization that fabricated a piece of jewelry or synthetic specimen,Omit if no appropriate data is available,Reference to Parties,,
ecatalogue,Gems/Minerals,Physical Details,Microprobed,- MinMicroprobed,,Not used,,,
ecatalogue,Gems/Minerals,Physical Details,X-Rayed,- MinXRayed,Whether or not a specimen has been X-rayed,Omit if no appropriate data is available,,,
ecatalogue,Gems/Minerals,Physical Details,Synthetic,- MinSynthetic,Whether or not a specimen is synthetic,Omit if no appropriate data is available,"Synthetic specimens often include information about where and how the specimen was fabricated. This information is beyond the scope of this field and should be recorded as follows:

- If the maker is known, record that information in Maker
- If additional details about the fabrication process are known, include them in the lot description",- Synthetic,
ecatalogue,Gems/Minerals,Physical Details,Chemical Modifier,- MinChemicalModifier,"A modifier applied to the primary mineral type. In practice, modifiers are often included in Taxon instead.",Omit if no appropriate data is available,,,"- Ferroan
- Manganoan
- Palladian"
ecatalogue,Gems/Minerals,Gem/Jewelry Name,Gem/Jewelry Name,- MinName,"The name of a gem, piece of jewelry, or mineral specimen",Omit if no appropriate data is available,,,"- Hope Diamond
- Jolly Green Giant"
ecatalogue,Gems/Minerals,Lot Description,Lot Description,- BioLiveSpecimen,A long-form description of the specimen ,Omit if no appropriate data is available,,,
ecatalogue,Gems/Minerals,Publication Details,Described/Figured,- MinDescribedFigured_tab,Whether a specimen has been described or figured,Omit if no appropriate data is available,"If a specimen has been described in a publication or manuscript, include the full reference to that document in the Bibliography tab. Use publication type ""Citation"" to record specific information about the description, including page or figure numbers.","- Described
- Figured",
ecatalogue,Gems/Minerals,Composition,Chemical Analysis,- PetChemicalAnalysisRef_tab,,Not used,,,
ecatalogue,Relationship,Object Details,Object ID,- RelNhURI_tab,The identifier of the related object,Required for each populated row,"This is the only identifier that appears in the summary grid and must be populated manually for each row.

The museum recommends using a persistent URI to represent the related object. We adopt that standard for objects not held by the department but for Mineral Sciences specimens use the catalog number to make the grid more usable.",,
ecatalogue,Relationship,Object Details,ID Type,- RelNhIDType_tab,The type of identifier used to represent the related object,Required for each populated row,,,"- Catalog Number
- EZID
- IGSN"
ecatalogue,Relationship,Object Details,Object,- RelObjectsRef_tab,The catalog record of the related object if held in the same department,Required for each populated row when the related object is held by the department,Reference to Catalog. The linked record will automatically be updated to include the relationship.,,
ecatalogue,Relationship,Object Details,Counts,- RelNhCount_tab,,Not used,,,
ecatalogue,Relationship,Object Details,Relationship,- RelRelationship_tab,The type of relationship,Required for each populated row,"Relationships currently in use include:

- **Parent/child** designates subsampling relationships
- **Same as/Same as** designates specimens with different catalog records that are fragments of the same object
- **Whole/Part**: Deprecated. Use parent/child instead.

When the related object has a linked record in EMu, the value for Relationship will be set to the unused value in the pair. ","- Child
- Parent
- Same as",
ecatalogue,Relationship,Object Details,Date,- RelNhDate0,,Not used,,,
ecatalogue,Relationship,Object Details,Source,- RelNhAccordingToRef_tab,The source documenting the relationship,Omit if no appropriate data is available,Reference to Parties,,
ecatalogue,Relationship,Object Details,Held By,- RelNhRepositoryRef_tab,The repository that holds the related object,Required for each populated row,Reference to Parties,,
ecatalogue,Relationship,Object Details,Inter.,- RelNhInteraction_tab,,Not used,,,
ecatalogue,Relationship,Object Details,Site,- RelNhSiteInHost_tab,,Not used,,,
ecatalogue,Relationship,Object Details,Event Type,- RelNhEventType_tab,,Not used,,,
ecatalogue,Relationship,Object Details,Identified By,- RelNhIdentifyByRef_tab,,Not used,,,
ecatalogue,Relationship,Object Details,Notes,- RelRemarks_tab,,Omit if no appropriate data is available,Free text,,
ecatalogue,Relationship,Taxon Identification,Taxon Identification,"- RelNhKingdom_tab
- RelNhPhylum_tab
- RelNhClass_tab
- RelNhOrder_tab
- RelNhFamily_tab
- RelNhGenus_tab
- RelNhSpecies_tab
- RelNhSubspecies_tab
- RelNhVariety_tab",Taxonomy of the related object,Not used,,,
,Security,Access,Record Status,- SecRecordStatus,The status of the record,Required,"The record status field is a first-order indication of whether a record:

- Corresponds to an active or retired collections object
- Is the preferred record if many similar records are available
- Conforms to minimal standards for data quality

Acceptable statuses are defined as follows: 

- **Active** indicates that a record corresponds to a collections object or related data. By default, only Active records show up in search results.
- **Cancelled** indicates that a record was created in error but should be preserved
- **Legacy** indicates that a record was migrated from a legacy database and needs to be properly integrated into EMu
- **Removed** indicates that a record is ready for deletion
- **Retired** indicates that a record represents an object no longer in the collection
- **Unlisted** indicates that a record has valid uses but should not be used in normal operations (for example, author records in parties)

The following statuses may appear in EMu but should not be used:

- Depleted
- Inactive
- Not Reviewed
- Secured
- TM

By default, only Active records show up in search results. In general, any record that is in regular use should be classified as Active.","- Active
- Cancelled
- Legacy
- Removed
- Retired
- Unlisted",
,Security,Access,Publish on Internet,- AdmPublishWebNoPassword,Sets whether the record can be published to public-facing systems,Required,,"- Yes
- No",
,Security,Access,Publish on Intranet,- AdmPublishWebNoPassword,Sets whether the record can published to intranet-only systems,Required,,"- Yes
- No",
